Time	OTF	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
11730	0.1304347826086957	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	214.799325	5.493588874680307
22830	0.1327201051248357	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	317.937874	4.177895847568989
13530	0.1352549889135255	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	130.157193	2.885968802660754
26130	0.1389207807118255	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	463.841592	5.32539141216992
26430	0.1373439273552781	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	188.235786	2.13661505107832
24030	0.1385767790262172	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	141.376751	1.7650031335830214
24930	0.1335740072202166	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	163.945148	1.9728658002406738
33030	0.1371480472297911	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	270.768447	2.459295613079019
41430	0.1383055756698045	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	344.70667	2.496065677045619
44130	0.1366417403127124	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	344.459234	2.3416671244051663
40530	0.1413767579570688	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	318.358609	2.356466387860844
15930	0.1337099811676083	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	60.892596	1.146753220338983
10230	0.1202346041055718	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	30.631708	0.8982905571847507
13830	0.1323210412147505	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	48.595908	1.0541411713665945
14430	0.1268191268191268	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	59.084181	1.2283613513513514
18630	0.1304347826086957	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	78.546454	1.264838228663446
41430	0.1383055756698045	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	284.10379	2.0572323678493847
11430	0.1338582677165354	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	28.772008	0.755170813648294
13230	0.1383219954648526	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	42.247194	0.9579862585034014
12330	0.1240875912408759	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	37.453138	0.9112685644768856
31230	0.1354466858789625	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	201.715705	1.937710902977906
25230	0.1319857312722949	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	125.887687	1.4968809393579074
14130	0.1295116772823779	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	43.719206	0.9282209341825902
22230	0.136302294197031	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	84.955805	1.1465020917678812
20130	0.135618479880775	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	83.80246	1.2489189269746648
22830	0.1327201051248357	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	132.471848	1.7407601576872536
37830	0.1356066613798573	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	264.141688	2.094700142743854
16230	0.1312384473197782	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	56.249549	1.0397328835489834
20430	0.1336270190895742	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	96.562034	1.4179446989720998
19830	0.1376701966717095	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	98.561981	1.4911040998487142
14430	0.1268191268191268	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	131.82399	2.740623492723493
20130	0.135618479880775	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	105.568149	1.5732958122205665
12330	0.1240875912408759	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	37.224833	0.9057136982968369
16230	0.1312384473197782	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	58.649697	1.0840979112754159
18030	0.1347753743760399	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	74.758148	1.243895973377704
11730	0.1304347826086957	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	34.854206	0.8914119181585677
48330	0.1371818746120422	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	473.322065	2.938063718187461
14430	0.1268191268191268	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	41.050467	0.8534400623700623
14430	0.1268191268191268	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	58.199565	1.2099701663201663
30930	0.1367604267701261	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	171.66474	1.665031425800194
18330	0.132569558101473	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	83.318894	1.3636480196399345
29430	0.1335372069317023	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	191.37706	1.9508364933741082
15030	0.1417165668662675	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	53.533129	1.0685255289421158
29130	0.1349124613800206	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	165.341114	1.7027921112255409
35430	0.1363251481795089	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	264.059577	2.2358981964436917
12030	0.1271820448877805	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	29.586862	0.7378269825436409
19830	0.1376701966717095	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	78.339853	1.1851717549167928
11430	0.1338582677165354	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	28.849223	0.7571974540682413
30930	0.1367604267701261	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	212.621449	2.0622836954413195
33330	0.1359135913591359	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	208.754616	1.8789794419441945
42030	0.1363311920057102	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	390.021417	2.783878779443255
54330	0.1385974599668691	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	536.163566	2.9605939591385972
17730	0.1370558375634518	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	67.358868	1.139743959390863
13530	0.1352549889135255	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	42.730086	0.9474520177383592
24030	0.1385767790262172	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	126.685481	1.58159152309613
39030	0.1391237509607994	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	291.184132	2.2381562797847807
39630	0.1370174110522332	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	292.181126	2.211817759273278
24930	0.1335740072202166	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	142.563375	1.715564079422383
9930	0.1238670694864048	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	30.1934	0.9121873111782477
11130	0.137466307277628	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	33.413517	0.9006338814016172
31230	0.1354466858789625	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	202.367316	1.9439703746397694
43230	0.1394864677307425	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	390.575241	2.7104458084663428
11730	0.1304347826086957	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	41.967878	1.07334726342711
15930	0.1337099811676083	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	106.754395	2.0104405838041433
17430	0.1394148020654045	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	131.909363	2.270384905335628
24630	0.1352009744214373	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	145.959364	1.7778241656516445
14430	0.1268191268191268	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	72.887932	1.5153416216216218
37230	0.1377921031426269	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	276.703403	2.2296809266720388
33330	0.1359135913591359	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	203.591357	1.8325054635463547
39930	0.1359879789631856	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	292.904745	2.200636701728024
12030	0.1271820448877805	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	44.726806	1.1153816957605986
13530	0.1352549889135255	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	47.918207	1.0624879600886918
12030	0.1271820448877805	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	40.827835	1.0181504987531171
27330	0.132821075740944	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	222.993618	2.4477894401756313
22230	0.136302294197031	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	121.380601	1.638064790823212
19530	0.1397849462365591	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	84.004564	1.2903926881720431
14130	0.1295116772823779	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	49.6009	1.0530976645435244
12030	0.1271820448877805	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	29.070857	0.7249590274314214
40530	0.1413767579570688	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	351.402472	2.6010545669874165
20430	0.1336270190895742	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	108.519858	1.5935368281938327
11430	0.1338582677165354	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	32.15389	0.843934120734908
12930	0.1415313225058005	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	44.602713	1.0348657308584688
41430	0.1383055756698045	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	352.326279	2.551240253439537
13530	0.1352549889135255	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	52.761483	1.1698776718403547
21630	0.1400832177531207	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	106.992698	1.4839486546463247
45930	0.1378184193337688	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	428.736802	2.8003710124101895
14430	0.1268191268191268	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	51.025289	1.060816819126819
29430	0.1335372069317023	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	202.443674	2.0636460142711517
24630	0.1352009744214373	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	163.412568	1.9904088672350793
32130	0.1409897292250233	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	207.774472	1.940004407096172
48030	0.1380387257963773	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	477.197913	2.98062406620862
28530	0.1377497371188223	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	154.444267	1.6240196319663514
15930	0.1337099811676083	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	66.234545	1.2473548964218455
16230	0.1312384473197782	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	69.434581	1.2834488170055451
27030	0.1342952275249723	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	144.838445	1.6075299112097672
13830	0.1323210412147505	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	42.219224	0.9158183080260303
42030	0.1363311920057102	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	326.421727	2.3299195360456815
13230	0.1383219954648526	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	35.566006	0.8064853968253969
29430	0.1335372069317023	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	230.557747	2.350231875637105
43830	0.1375770020533881	markov-multisize	0.142	1	1.0	0.142-1.0	markov-multisize-0.142	markov-multisize-1.0	markov-multisize-0.142-1.0	410.754948	2.8114643942505135
11730	0.1304347826086957	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	222.793957	5.698055166240409
25230	0.1438763376932224	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	382.608407	4.54944598097503
13530	0.1352549889135255	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	235.184948	5.214743858093126
26730	0.1470258136924804	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	344.018577	3.861039023569024
26730	0.1470258136924804	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	319.29627	3.583572053872054
30930	0.1464597478176528	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	284.220784	2.756748632395732
27330	0.1437980241492865	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	172.219866	1.8904485839736553
36030	0.1423813488759367	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	331.141475	2.757214612822648
44130	0.1434398368456832	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	378.599166	2.573753677770225
45330	0.1462607544672402	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	354.946053	2.34908043017869
42030	0.1434689507494647	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	340.094805	2.4275146680942186
15930	0.1337099811676083	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	57.395684	1.0808980037664784
