Time	OTF	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
10530	0.08831908831908832	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
21330	0.09985935302391	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12630	0.09738717339667458	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
24630	0.09866017052375152	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
23430	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
19530	0.09370199692780339	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
20430	0.08957415565345081	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
30930	0.0979631425800194	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
34830	0.09560723514211886	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
37530	0.09672262190247802	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
34830	0.09560723514211886	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12330	0.09975669099756691	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
9930	0.09365558912386707	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12330	0.09975669099756691	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12930	0.09512761020881672	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
17730	0.08629441624365482	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
37530	0.09672262190247802	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
10230	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12630	0.09738717339667458	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
11430	0.08136482939632546	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
24630	0.09866017052375152	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
21930	0.09712722298221614	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
13530	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
17130	0.0893169877408056	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
17130	0.0893169877408056	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
19530	0.09370199692780339	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
35130	0.09479077711357814	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12930	0.09512761020881672	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
18630	0.09822866344605476	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
13830	0.08893709327548807	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
36630	0.0990990990990991	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
13530	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
11430	0.08136482939632546	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
15630	0.09788867562380038	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
16830	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
10230	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
21330	0.09985935302391	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
13830	0.08893709327548807	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12930	0.09512761020881672	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
28230	0.09670563230605739	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
16530	0.0925589836660617	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
24930	0.09747292418772563	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12930	0.09512761020881672	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
22530	0.09454061251664447	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
29130	0.0937178166838311	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
11430	0.08136482939632546	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12630	0.09738717339667458	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
10530	0.08831908831908832	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
28230	0.09670563230605739	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
30930	0.0979631425800194	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
33930	0.09814323607427056	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
28530	0.09568874868559411	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
16830	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12630	0.09738717339667458	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
21930	0.09712722298221614	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
33330	0.0999099909990999	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
35430	0.09398814563928874	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
23430	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
9630	0.09657320872274143	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
10230	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
29730	0.09182643794147326	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
37230	0.09750201450443191	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
11130	0.08355795148247978	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
14130	0.08704883227176222	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
16530	0.0925589836660617	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
16830	0.09090909090909091	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
12930	0.09512761020881672	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
31830	0.09519321394910461	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
27330	0.09989023051591658	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
33930	0.09814323607427056	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
11130	0.08355795148247978	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
21630	0.09847434119278779	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
11130	0.08355795148247978	optimal	0.1	1	1.0	0.1-1.0	optimal-0.1	optimal-1.0	optimal-0.1-1.0	0.0	0.0
